.,Czech
EventTouchMirror1.button1,Pokračovat
SpawnFlyingSerpentMirror.button1,Pokračovat
EventAddSearchTokenSkeleton.text,"Všimnete si figuríny kostry poblíž pódia. Když si vzpomenete na svou vizi s doktorkou Barnettovou, víte, že byste se měli podívat dovnitř její lebky.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
TokenLockedBathroomDoor.text,"Dveře jsou chráněny podivným energetickým polem a nelze je otevřít."
TokenLockedBathroomDoor.button1,Pokračovat
EventTouchMirror2.text,"Před vámi se objeví přízrak, který zaujme místo, kde by měl být váš odraz. Beze slova vám telepaticky vnucuje myšlenku, že jste někdo úplně jiný. Mohou být vaše vzpomínky na minulost opravdu tak zkreslené a mylné? Pokoušíte se ve své mysli s přízrakem přetahovat, abyste se udrželi v realitě ({influence}; 2)."
EventTouchMirror2.button1,Úspěch
EventTouchMirror2.button2,Neúspěch
EventApparitionMirrorPass.text,"Překonáváte nesmyslné zhmotnění přízraku a vaše odhodlání je posíleno. Stáváte se Soustředěným.\n\nOdstraňte tento Žeton Prohledat."
EventApparitionMirrorPass.button1,Pokračovat
EventApparitionMirrorFailBTT.text,"Snažíte se překonat přesvědčování ducha, ale vaše jistota ve vzpomínky na minulost slábne. Stáváte se Hypnotizovaným a vezmete si 2 Karty Strachu otočené lícem dolů.\n\nOdstraňte tento Žeton Prohledat."
EventApparitionMirrorFailBTT.button1,Pokračovat
EventApparitionMirrorFailTwilight.text,"Snažíte se překonat přesvědčování ducha, ale vaše jistota ve vzpomínky na minulost slábne. Okamžitě ukončete svůj tah. Poté se stáváte Stresovaným a vezmete si 2 Karty Strachu otočené lícem dolů.\n\nOdstraňte tento Žeton Prohledat."
EventApparitionMirrorFailTwilight.button1,Pokračovat
EventApparitionMirrorFail.text,"Snažíte se překonat přesvědčování ducha, ale vaše jistota ve vzpomínky na minulost slábne. Vezměte si 3 Karty Strachu.\n\nOdstraňte tento Žeton Prohledat."
EventApparitionMirrorFail.button1,Pokračovat
EventKillMirrorSerpent.button1,Pokračovat
TokenExploreHallToMedOffice.text,"Tyto dveře vedou do ošetřovny doktorky Rose Barnettové, vaší staré přítelkyně."
TokenExploreHallToMedOffice.button1,{action} Prozkoumat
EventEnterMedicalOffice.text,"Zápach, který vás udeří do nosu, není zrovna vábný a krev rozmazaná na křesle určeném pro pacienty vám rozhodně chuť k jídlu nezlepší. Zdá se, že doktorka Barnettová má na starosti víc než jen běžné lékařské návštěvy.\n\nUmístěte {c:TileMedicalOffice}, jak je uvedeno."
EventEnterMedicalOffice.button1,Pokračovat
EventAddSearchTokensMedicalOffice.text,"Police jsou plné různého lékářského vybavení. Možná by doktorka neměla nic proti tomu, kdyby vám něco z toho půjčila.\n\nNa stole v místnosti leží blok, který by mohl poskytnout náhled do nedávných aktivit doktorky Barnettové.\n\nUmístěte 2 Žetony Prohledat, jak je uvedeno."
EventAddSearchTokensMedicalOffice.button1,Pokračovat
EventAddExploreTokenMedOfficeToWarehouse.text,"Po levé straně si všimnete dalších dveří, které vedou do skladovací místnosti této budovy.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenMedOfficeToWarehouse.button1,Pokračovat
EventAddDoctorToken.text,"Před vámi stojí vaše přítelkyně, doktorka Rose Barnettová. Je dobře známá pro své vynikající lékařské služby a rozsáhlé akademické znalosti, které získala částečně díky bezplatným kurzům, které může navštěvovat jako zaměstnankyně Miskatonické univerzity.\n\nUmístěte Žeton doktorky Rose Barnettové, jak je uvedeno."
EventAddDoctorToken.button1,Pokračovat
TokenSearchMedOfficeLeft.text,"Prohlížíte si lékařské vybavení a zdvořile se ptáte doktorky Barnettové, zda by vám mohla něco půjčit, co by se vám mohlo hodit.\n\n„Samozřejmě,“ odpoví vážným tónem. „Ale toto jsou univerzitní zásoby, tak si neberte víc, než potřebujete.“\n\nMůžete si také vzít Léky na bolest, pokud máte rozšíření Svatyně soumraku."
TokenSearchMedOfficeLeft.button1,{action} Vzít skalpel
TokenSearchMedOfficeLeft.button2,{action} Vzít obvazy
TokenSearchMedOfficeLeft.button3,{action} Vzít whisky
EventTakeScalpel.text,"Víc než cokoliv jiného si myslíte, že byste mohli potřebovat něco na sebeobranu. Poděkujete doktorce a uložíte skalpel do kapsy.\n\nZískejte běžný předmět Skalpel a odstraňte tento Žeton Prohledat."
EventTakeScalpel.button1,Pokračovat
EventTakeBandages.text,"Vezmete si z police čisté obvazy, poděkujete doktorce a vložíte je do kapsy.\n\nZískejte běžný předmět Obvazy a odstraňte tento Žeton Prohledat."
EventTakeBandages.button1,Pokračovat
EventTakeWhiskey.text,"Pacienti doktorky Barnettové jistě oceňují její schopnost tlumit bolest, ale vy ji možná budete potřebovat, abyste si udrželi příčetnost po celou noc. Poděkujete doktorce a uložíte láhev do kapsy svého kabátu.\n\nZískejte běžný předmět Whisky a odstraňte tento Žeton Prohledat."
EventTakeWhiskey.button1,Pokračovat
TokenDoctor.text,"Doktorka Rose Barnettová čistí své vybavení, které je zřejmě čerstvě potřísněné krví, podobně jako lékařské křeslo. Všimne si vašeho příchodu, ale zůstává soustředěná na svou práci. Nikdy nebyla moc výřečná, ani velký společenský typ, takže vás její apatie vůči vaší přítomnosti příliš nepřekvapí.\n\nJediná věc, na kterou teď myslíte, je, odkud všechna ta krev pochází. Pokud máte Hvězdný kalendář a považujete doktorku Barnettovou za důvěryhodnou, můžete jí ho odhalit."
TokenDoctor.button1,{action} Zeptat se na krev
TokenDoctor.button2,{action} Odhalit Hvězdný kalendář
TokenSearchMedOfficeLeft.button4,{action} Vzít Léky na bolest
EventTakePainkillers.text,"Od té doby, co jste přivezli Hvězdný kalendář, vás bolí hlava. Tyhle pilulky by vám mohly pomoci.\n\nZískejte běžný předmět Léky na bolest a odstraňte tento Žeton Prohledat."
EventTakePainkillers.button1,Pokračovat
EventAskAboutBlood.text,"Přivítáte doktorku Barnettovou a zeptáte se na krev na křesle a jejím vybavení.\n\n„No, ráda tě taky vidím,“ zamumlá suchým, ale trochu humorným tónem. „Původ té krve... nejsem si jistá, jestli bych ti to měla říkat, i když jsme staří přátelé. To je záležitost policie a univerzity...“\n\nSnažíte se doktorku přesvědčit o své schopnosti udržet tajemství a pokoušíte se z ní informace vylákat. Zdá se však, že je odhodlaná držet detaily v tajnosti. Máte pocit, že budete mít pouze jednu šanci ji přesvědčit {influence}."
EventAskAboutBlood.button1,Pokračovat
EventAskAboutBloodFail.text,"Doktorka Barnettová zůstává neoblomná. „Je mi líto, ale bylo by rozumné, abych o tom mlčela.“\n\nZ toho můžete usuzovat, že na univerzitě nedávno došlo k nějakému násilí.\n\nZískejte 1 Žeton Stopy."
EventAskAboutBloodFail.button1,Pokračovat
EventAskAboutBlood.button2,Zrušit
EventAskAboutBloodPass.text,"Když mluvíte, vidíte, že vaše slova pomalu uklidňují obavy vaší přítelkyně. Doktorka Barnettová uvolní ramena a začne šeptem vyprávět.\n\n„Slyšel jsi o Kultu Zeleného oka? Jejich vliv se šíří a zdá se, že mají zájem o Miskatonickou univerzitu. Zřejmě se jeden z jejich členů setkal s některými našimi studenty, možná ve snaze získat nové členy. Jeho obličej však zakrývala kápě, takže jeho totožnost zůstává neznámá. Po ostré hádce vypukla potyčka. Nakonec byl jeden ze studentů těžce zraněn, zavolali policii a člen kultu uprchl. Ošetřila jsem studenta, jak nejlépe jsem mohla, ale byl převezen do nemocnice.“\n\nDoktorka se na vás pronikavě podívá a naléhá: „Prosím, nikomu o tom neříkej. Nechceme, aby se zprávy o aktivitách tohoto kultu dostaly na veřejnost, pokud se policie sama nerozhodne zveřejnit podrobnosti.“\n\nZískejte 2 Žetony Stopy."
EventAskAboutBloodPass.button1,Pokračovat
TokenDoctor2.text,"Doktorka Barnettová se vrátila k čištění svého krví potřísněného vybavení."
TokenDoctor2.button1,{action} Odhalit Hvězdný kalendář
TokenSearchMedOfficeRight.text,"Doktorka Barnettová nechala svůj poznámkový blok ležet na pracovní ploše. Pokud byste do něj nahlédli, aniž by si toho všimla, mohli byste najít cenné informace."
TokenSearchMedOfficeRight.button1,{action} Prohledat
EventLibraryPapersNoEvidence.text,"Howard Bechman je zcela pohroužený do knihy, kterou čte, takže máte dobrou příležitost prozkoumat jeho poznámky {observation}."
EventSearchLibraryPapersLibrarianGuilty.button1,Pokračovat
EventLibraryPapersInnocent.text,"Howard Bechman je zcela pohroužený do knihy, kterou čte, takže máte dobrou příležitost prozkoumat jeho poznámky {observation}."
EventLibraryPapersInnocent.button1,Pokračovat
EventDoctorGuiltyEvidenceNotepad.text,"Předstíráte zájem o unikátní lékařské vybavení, které je na odiv, zatímco se pokoušíte číst její poznámky, aniž by si toho všimla {observation}."
EventDoctorGuiltyNotepad.button1,Pokračovat
EventDoctorGuiltyEvidenceNotepad.button1,Pokračovat
EventDoctorNoEvidenceNotepad.text,"Předstíráte zájem o unikátní lékařské vybavení, zatímco se pokoušíte číst její poznámky, aniž by si toho všimla {observation}."
EventDoctorNoEvidenceNotepad.button1,Pokračovat
EventDoctorInnocentNotepad.text,"Předstíráte zájem o unikátní lékařské vybavení, zatímco se pokoušíte číst její poznámky, aniž by si toho všimla {observation}."
EventDoctorInnocentNotepad.button1,Pokračovat
EventNotepadGuiltyEvidenceTestFail.text,"Když se ponoříte do poznámek doktorky Barnettové, přestanete dávat pozor na její pohled. Jakmile si všimne, že prohlížíte její poznámky, rychle k vám přistoupí, vytrhne blok z vašich rukou a schová ho do kapsy svého kabátu. Poté se vrací k čištění svého vybavení.\n\n„To od vás nebylo příliš zdvořilé,“ prohlásí. „Tohle jsou moje soukromé lékařské poznámky, proto vás žádám, abyste je považoval za důvěrné informace. Asi mě vaše zvědavost nepřekvapuje, vzhledem k čerstvým skvrnám od krve v místnosti, ale doufám, že chápete, proč musím detaily uchovat v tajnosti.“\n\nZískejte 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventNotepadGuiltyEvidenceTestFail.button1,Pokračovat
EventNotepadNoEvidenceFail.text,"Když se ponoříte do poznámek doktorky Barnettové, přestanete dávat pozor na její pohled. Jakmile si všimne, že prohlížíte její poznámky, rychle k vám přistoupí, vytrhne blok z vašich rukou a schová ho do kapsy svého kabátu. Poté se vrací k čištění svého vybavení.\n\n„To od vás nebylo příliš zdvořilé,“ prohlásí. „Tohle jsou moje soukromé lékařské poznámky, proto vás žádám, abyste je považoval za důvěrné informace. Asi mě vaše zvědavost nepřekvapuje, vzhledem k čerstvým skvrnám od krve v místnosti, ale doufám, že chápete, proč musím detaily uchovat v tajnosti.“\n\nZískejte 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventNotepadNoEvidenceFail.button1,Pokračovat
EventNotepadGuiltyEvidenceTestPass.text,"Vaše pozorování se vyplatilo. Doktorka Barnettová si vůbec nevšimla, že čtete její poznámky.\n\nVaše čtení odhalí důležitou stopu. Během nedávného incidentu na univerzitní půdě byl jeden student zraněn někým, koho doktorka označuje jako „člena kultu“. Je jasné, že je zapojena do tohoto temného společenství, a tudíž jí nelze věřit.\n\nZískejte 2 Žetony Stopy a unikátní předmět Chybějící vodítko. Odstraňte tento Žeton Prohledat."
EventNotepadGuiltyEvidenceTestPass.button1,Pokračovat
EventNotepadNoEvidencePass.text,"Doktorka Barnettová si nevšimla, že čtete její poznámky. Detaily popisují událost, kdy byl student na univerzitní půdě zraněn při potyčce. Přestože zranění nebylo smrtelné, rána byla zasažena přesně tak, aby způsobila velkou bolest a dlouhou rekonvalescenci. S ohledem na svědky, kteří potvrdili, že útočník byl členem nechvalně známého kultu, vás krutost tohoto činu nepřekvapuje.\n\nZískejte 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventNotepadNoEvidencePass.button1,Pokračovat
TokenExploreMedToWarehouse.text,"Za těmito dveřmi se nachází skladovací místnost."
TokenExploreMedToWarehouse.button1,{action} Prozkoumat
EventEnterStorageRoom.text,"Místnost je, jak byste očekávali, poněkud zaprášená. Nejste si jisti, co byste zde mohli najít, ale několik míst vypadá, že by mohla stát za prohledání.\n\nVzadu v místnosti je stůl, který vypadá, že byl nedávno použit. Dvě bedny, jedna uprostřed místnosti a druhá v rohu vpravo, se zdají být novým přírůstkem v jinak obyčejném interiéru.\n\nUmístěte {c:TileStorageRoom}, Žeton Zdi a 3 Žetony Prohledat, jak je uvedeno."
EventEnterStorageRoom.button1,Pokračovat
TokenSearchWarehouseTopLeft.text,"Velká zásuvka ve stole má rukojeť bez prachu. Někdo ji musel použít v posledních dnech."
TokenSearchWarehouseTopLeft.button1,{action} Prohledat
EventWarehouseDeskGuiltyEvidence.text,"Uvnitř zásuvky vidíte tmavou látku. Když ji vytáhnete na světlo, odhalí se dlouhý plášť. V kapse najdete lístek adresovaný profesoru Smithovi.\n\nNa něm stojí: „Jako nový člen našeho řádu přijmi tento učňovský plášť a sigil. Noste je s hrdostí ve službě Yigovi.“ Když se ponoříte hlouběji do kapsy, najdete sigil zmíněný v poznámce. Vidíte, že je ozdoben velkým zeleným okem.\n\nZískejte unikátní předmět Sigil kultu, 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
EventSearchDeskProfessorGuilty.button1,Pokračovat
EventWarehouseDeskGuiltyEvidence.button1,Pokračovat
EventWarehouseDeskNoGuiltyEvidence.text,"K vašemu překvapení je zásuvka prázdná. Cokoli tu bylo, muselo být nedávno odstraněno {observation}."
EventWarehouseDeskNoGuiltyEvidence.button1,Pokračovat
EventWarehouseDeskObservationFail.text,"Nevidíte nic jiného než prázdnou zásuvku.\n\nOdstraňte tento Žeton Prohledat."
EventWarehouseDeskObservationFail.button1,Pokračovat
EventWarehouseDeskObservationPass.text,"Co to je? Všimnete si kousku látky, která vypadá stejně jako róba, kterou měl na sobě člověk, který při vašem příchodu spěchal z budovy. Mohla tu být uschována róba člena kultu?\n\nZískejte 1 Žeton Stopy a odstraňte tento Žeton Prohledat."
EventWarehouseDeskObservationPass.button1,Pokračovat
EventSearchDeskProfessorInnocent.text,"K vašemu překvapení je zásuvka prázdná. Cokoli tu bylo, muselo být nedávno odstraněno {observation}."
EventSearchDeskProfessorInnocent.button1,Pokračovat
TokenSearchWarehouseTopRight.text,"Tato bedna je docela pevná, ale můžete se pokusit ji rozbít silou. Na druhou stranu je v ní díra, do které můžete strčit ruku a prozkoumat, co je uvnitř."
TokenSearchWarehouseTopRight.button1,{action} Rozbít
TokenSearchWarehouseTopRight.button2,{action} Sáhnout dovnitř
EventBreakWarehouseCrateTop.text,"Když udeříte do bedny, snažíte se vyvinout dostatečnou sílu, abyste ji rozbili, ale zároveň abyste nepoškodili obsah uvnitř. Kdybyste měli vhodný předmět, mohli byste mít nad úderem větší kontrolu {strength}. Můžete upravit svůj výsledek o +1 nebo -1, pokud máte Těžkou zbraň."
EventBreakWarehouseCrateTop.button1,Pokračovat
EventBreakWarehouseCrateTopFail.text,"Vaše údery jsou příliš opatrné a rána se od pevných prken odrazí."
EventBreakWarehouseCrateTopFail.button1,Pokračovat
EventBreakWarehouseCrateTopPass.text,"Použijete přesně tolik síly, kolik je potřeba, a prorazíte dřevěnou bariéru s dostatečně lehkým úderem, aby nedošlo k poškození obsahu. Uvnitř bedny najdete sadu jehel označených jako „Sedativa“. Po všem, čím jste si prošli, si jednu raději vezmete.\n\nZískejte běžný předmět Sedativa a odstraňte tento Žeton Prohledat."
EventBreakWarehouseCrateTopPass.button1,Pokračovat
EventBreakWarehouseCrateTopExcessive.text,"Při rozbití dřevěné bedny se její obsah zničil. Omylem jste rozdrtili sadu jehel se sedativy, které musela doktorka Barnettová nedávno objednat.\n\nI když vás mrzí způsobená škoda, využijete situaci a vezmete si jednu z dřevěných desek, které se uvolnily při vašem útoku.\n\nZískejte běžný předmět Prkno a odstraňte tento Žeton Prohledat."
EventBreakWarehouseCrateTopExcessive.button1,Pokračovat
EventReachInTopWarehouseCrate.text,"Pomalu sáhnete dovnitř, zvědaví, co tam najdete {observation}+{agility}."
EventReachInTopWarehouseCrate.button1,Pokračovat
EventReachInTopWarehouseCrateFail.text,"Nepostupujete opatrně, jak by bylo potřeba, a neohrabaně šmátráte ve tmě. Najednou ucítíte ostré bodnutí a reflexivně ruku odtáhnete. Při tom si odřete ruku a převrhnete bednu, což doprovází zvuk tříštícího se skla. Bedna byla plná injekčních stříkaček, ale žádná z nich už není v celku.\n\nVezměte si 2 Karty Zranění otočené lícem dolů a odstraňte tento Žeton Prohledat."
EventReachInTopWarehouseCrateFail.button1,Pokračovat
EventReachInTopWarehouseCratePass.text,"Opatrně prohledáváte bednu a s velkou péčí vytáhnete skleněný předmět s ostrou jehlou na konci.\n\nZískejte běžný předmět Sedativa a odstraňte tento Žeton Prohledat."
EventReachInTopWarehouseCratePass.button1,Pokračovat
TokenSearchWarehouseBottomRight.text,"Velká bedna leží v rohu místnosti a nedostatek prachu naznačuje, že sem byla přivezena nedávno. Ačkoli je nová ve skladovací místnosti, bedna vykazuje známky stáří, protože dřevo vypadá poněkud ztrouchnivělé. Nemělo by být příliš obtížné ji rozbít. Můžete se pokusit bednu rozbít, ale příliš silný úder by mohl zničit, co je uvnitř."
TokenSearchWarehouseBottomRight.button1,{action} Rozbít bednu
EventBreakBottomCrateWarehouse.text,"Rozmáchnete se na křehkou bednu. S vhodným nástrojem byste mohli lépe kontrolovat destrukci {strength}. Můžete upravit výsledek testu o +1 nebo -1, pokud máte Těžkou zbraň."
EventBreakBottomCrateWarehouse.button1,Pokračovat
EventBreakBottomWarehouseCrateFail.text,"Bedna je sice ztrouchnivělá, ale i tak bude potřeba větší rána, aby se rozbila."
EventBreakBottomWarehouseCrateFail.button1,Pokračovat
EventBreakBottomWarehouseCratePass.text,"Použijete přesně tolik síly, kolik je třeba, a prorazíte bednu. K vašemu překvapení najdete různé artefakty, které se zdají být jihoamerického původu. Domníváte se, že musely být nalezeny při pátrání po mocných artefaktech, jako je Hvězdný kalendář. Přítomnost těchto předmětů na Miskatonické univerzitě vás znepokojuje, protože to naznačuje, že Kult Zeleného oka může mít na této akademické půdě již hluboké kořeny.\n\nZískejte 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
EventBreakBottomWarehouseCratePass.button1,Pokračovat
EventBreakBottomWarehouseCrateTooStrong.text,"Křehká bedna se roztříští na kousky a její obsah je zničen na drobné střepy. Zbytky vypadaly jako nějaká keramika, ale z trosek před vámi nelze nic více vyčíst.\n\nOdstraňte tento Žeton Prohledat."
EventBreakBottomWarehouseCrateTooStrong.button1,Pokračovat
TokenWarehouseDoorLocked.text,"Dveře jsou chráněny energetickou bariérou, která vám brání se dotknout kliky."
TokenWarehouseDoorLocked.button1,Pokračovat
EventWarehouseDoorLocks.text,"Jakmile zavřete zásuvku, dveře do skladovací místnosti se zapečetí nadpřirozenou energií.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventWarehouseDoorLocks.button1,Pokračovat
SpawnWarehouseHuntingDeepOne.button1,Pokračovat
EventUnlockWarehouseDoor.text,"Tvor se promění v kaluž vody a během několika vteřin se vypaří. Jakmile poslední kapky vlhkosti zmizí z místnosti, energetická bariéra chránící dveře také zmizí. Ale místnost se nevrátí do svého původního stavu, což vás nutí přijmout fakt, že Hvězdný kalendář je ještě mocnější, než jste si mysleli.\n\nOdstraňte Žeton Prozkoumat, jak je uvedeno, a vezměte si 1 Kartu Strachu otočenou lícem dolů."
SpawnWarehouseHuntingDeepOne.text,"Vodní tvor se spustí ze stropu, jako by kapky vody stékaly na podlahu. Vzpomínáte si na tyto hrůzné tvory z chrámu, a nyní se zdá, že vás našli, i přes velkou vzdálenost, které vás od jejich domova dělí.\n\nNáhle se i skladovací místnost začne měnit a připomínat chrám, který se rozpadá na kamenné trosky. Studený vzduch je ochromující a vy vidíte svůj dech, jak se před vámi mění v páru. Vezměte si 1 Kartu Zranění otočenou lícem dolů (lze předejít úspěšným hodem na {strength}). Okamžitě ukončete svůj tah a stáváte se Zadrženým.\n\nNahraďte skladovací místnost dílkem {c:TileBrokenTemple} a umístěte Nevyzpytatelného lovce, jak je uvedeno."
EventUnlockWarehouseDoor.button1,Pokračovat
TokenExploreEntryHallToDean.text,"Tyto dveře vedou do děkanovy kanceláře."
TokenExploreEntryHallToDean.button1,{action} Prozkoumat
EventEnterDeansOffice.text,"Před vámi se rozprostírá úhledná kancelář s luxusním stolem. Také vidíte velkou mahagonovou polici plnou různých cetek a knih. Ano, tohle je určitě Eugeneova kancelář. Vždy měl slabost pro kvalitní starožitný nábytek.\n\nUmístěte {c:TileDeanOffice}, Žeton Dveří a Žeton Zdi, jak je uvedeno."
EventEnterDeansOffice.button1,Pokračovat
EventAddDeansOfficeSearchTokenDesk.button1,Pokračovat
EventAddDeansOfficeSearchTokenBottom.text,"Velké mahagonové police obsahují spoustu zajímavých předmětů a knih.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddDeansOfficeSearchTokenDesk.text,"Abyste si ověřili děkanovu nevinu, víte, že nejlepší místo k prozkoumání je jeho stůl s velkou žulovou deskou.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddDeansOfficeSearchTokenBottom.button1,Pokračovat
EventAddEugeneClemens.text,"Za velkým nádherným stolem spatříte sedícího Eugena Clemense, jak přerovnává nějaké papíry. Když si vás všimne při vstupu do místnosti, prohlásí: „Ah! Jste tu brzy na naši schůzku. Rád vás vidím, ale budete na mě muset ještě chvíli posečkat, než dokončím pár úkolů.“\n\nUmístěte žeton postavy Eugene Clemens, jak je uvedeno."
EventAddEugeneClemens.button1,Pokračovat
EventAddDoorDeanToMeetingRoom.text,"V zadní části místnosti vidíte další dveře. Pokud si správně pamatujete, vedou do zasedací místnosti pro zaměstnance.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddDoorDeanToMeetingRoom.button1,Pokračovat
TokenSearchDeanDesk.text,"S děkanem Clemensem sedícím u svého stolu nemáte šanci tento stůl prozkoumat."
TokenSearchDeanDesk.button1,Pokračovat
TokenSearchDeanBottom.text,"Vidíte police plné starožitností, artefaktů a starých knih. Určitě tu najdete něco zajímavého. Díky vašemu dlouholetému přátelství s Eugenem víte, že by mu nevadilo, kdybyste si něco vzali."
TokenSearchDeanBottom.button1,{action} Vzít Bibli
TokenSearchDeanBottom.button2,{action} Vzít Kompas z jiného světa
TokenSearchDeanBottom.button3,{action} Vzít Lebka z drahokamů
TokenSearchDeanBottom.button4,{action} Vzít Lékařskou učebnici
EventGainBible.text,"S ohledem na mentální trauma, kterým jste v posledních týdnech prošli, víte, že svatá slova jsou vaším nejlepším spojencem.\n\nZískejte běžný předmět Bible krále Jakuba a odstraňte tento Žeton Prohledat."
EventGainBible.button1,Pokračovat
EventGainOtherworldlyCompass.text,"Tento kompas je v sobě skrývá mnohem víc, než se na první pohled zdá.\n\nZískejte Kompas z jiného světa a odstraňte tento Žeton Prohledat."
EventGainOtherworldlyCompass.button1,Pokračovat
EventGainJeweledSkull.text,"Tato lebka vám připomíná poklady, které jste našli při své expedici za Hvězdným kalendářem.\n\nZískejte běžný předmět Lebka z drahokamů a odstraňte tento Žeton Prohledat."
EventGainJeweledSkull.button1,Pokračovat
EventGainMedicalTextbook.text,"S ohledem na fyzická zranění, která jste utrpěli, by bylo vhodné naučit se nějaké lékařské postupy.\n\nZískejte běžný předmět Lékařská učebnice a odstraňte tento Žeton Prohledat."
EventGainMedicalTextbook.button1,Pokračovat
TokenDean.text,"Eugene Clemens sedí za svým luxusním stolem a pracuje na univerzitních dokumentech, přičemž popíjí sklenici ledového čaje. Víte, že potřebujete prohledat jeho stůl, a tak hledáte způsob, jak ho dostat z kanceláře. Napadají vás dvě možnosti.\n\nNa druhou stranu, pokud mu už důvěřujete, může vyšetřovatel držící Hvězdný kalendář Eugeneovi tento artefakt odhalit."
TokenDean.button1,{action} Rozlít čaj na Eugena
TokenDean.button2,{action} Tvrdit, že má špinavý límec
EventKnockTeaOver.text,"Kdybyste dokázali rychle a přesně rozlít čaj do jeho klína, Eugene by musel jít do koupelny, aby se očistil {agility}."
EventKnockTeaOver.button1,Pokračovat
TokenDean.button3,{action} Odhalit Hvězdný kalendář
EventConvinceDeanCollarDirty.text,"Kdybyste ho přesvědčili, že má na límci skvrnu, pravděpodobně by šel do koupelny, aby si to sám zkontroloval {influence}."
EventConvinceDeanCollarDirty.button1,Pokračovat
EventKnockTeaFail.text,"Když předstíráte, že klopýtnete poblíž jeho stolu, mávnete rukou směrem ke sklenici. Nicméně vaše obratnost není dostatečná a čaj rozlijete na podlahu. Eugene se zdvořile zasměje a vy se okamžitě omluvíte a začnete uklízet nepořádek."
EventCollarDirtyFail.button1,Pokračovat
TokenDeanTeaFailed.text,"Váš plán s čajem nevyšel, ale máte v záloze další nápad.\n\nStejně jako dříve, pokud máte Hvězdný kalendář a považujete Eugena za důvěryhodného, můžete mu ho odhalit."
TokenDeanTeaFailed.button1,{action} Tvrdit, že má špinavý límec
TokenDeanTeaFailed.button2,{action} Odhalit Hvězdný kalendář
EventKnockTeaFail.button1,Pokračovat
EventKnockTeaPass.text,"Když mistrovsky předstíráte, že klopýtáte přes jeho koberec, snažíte se vyrovnat u jeho stolu a převrhnete čaj přímo do Eugeneova klína. S trhnutím vyskočí ze židle a trochu zabručí. Po srdečné omluvě vás ujistí, že se nic nestalo. „Nic se nestalo. Půjdu se umýt do koupelny. Hned se vrátím.“"
EventKnockTeaPass.button1,Pokračovat
TokenDeanReadyToMove.text,"Děkan Clemens se nezdá být ochotný mluvit, zatímco míří směrem do koupelny."
TokenDeanReadyToMove.button1,Pokračovat
EventCollarDirtyFail.text,"Vaše přesvědčování není příliš přesvědčivé. Eugene je příliš soustředěný na svou práci, než aby věnoval vašim slabým pokusům o větší pozornost. „Jsem si jistý, že to bude v pořádku,“ ujistí vás a vrací se ke čtení dokumentů na svém stole."
EventCollarDirtyPass.text,"Když Eugena Clemense ujišťujete, že čerstvá skvrna na jeho límci vypadá opravdu nevzhledně, odtáhne židli od stolu a vydá se k nejbližšímu zrcadlu. „Děkuji, že jsi mi to řekl. Hned to napravím.“"
EventCollarDirtyPass.button1,Pokračovat
TokenDeanHall1stTime.text,"Hned se vrátím, jen co se umyju."
TokenDeanHall1stTime.button1,Pokračovat
EventDeanMovesToHall1stTime.text,"Děkan Clemens spěchá do koupelny, aby se očistil. Nyní budete mít možnost prohledat jeho stůl a najít nějaké stopy, ale víte, že máte jen omezený čas, než se vrátí.\n\nPřesuňte Eugena Clemense, jak je uvedeno."
EventDeanMovesToHall1stTime.button1,Pokračovat
EventDeanBathroomLobby.text,"Eugene pokračuje v cestě do koupelny."
EventDeanBathroomLobby.button1,Pokračovat
TokenDeanBathroomLobby.text,"Hned se vrátím, jen co se umyju."
TokenDeanBathroomLobby.button1,Pokračovat
EventDeanMovesToBathroom.button1,Pokračovat
EventDeanEntersBathroom.text,"Eugene dorazí do koupelny, prohlédne si a očistí své oblečení a připraví se na návrat do kanceláře.\n\nPřesuňte Eugena Clemense, jak je uvedeno."
EventDeanEntersBathroom.button1,Pokračovat
TokenDeanBathroom.text,"Eugene je příliš soustředěný na čištění, než aby s vámi mluvil."
TokenDeanBathroom.button1,Pokračovat
EventDeanBathroomLobbyRevealed.text,"Přesuňte Eugena Clemense, jak je uvedeno."
EventDeanBathroomLobbyRevealed.button1,Pokračovat
EventDeanBathroomLobbyNOTRevealed.text,"Eugene zmizí z dohledu, když vstoupí do dveří koupelny. Odstraňte Eugena Clemense z desky."
EventDeanBathroomLobbyNOTRevealed.button1,Pokračovat
EventAddDeanTokenBathroomLobby.text,"Eugene Clemens míří do koupelny.\n\nUmístěte Eugena Clemense, jak je uvedeno."
EventAddDeanTokenBathroomLobby.button1,Pokračovat
